t,state,x,y,z,qw,qx,qy,qz,vx,vy,vz,fx,fy,fz
0.095,LANDED,-4.0,-4.0,0.133,1.0,0.0,0.0,0.0,0.0,-0.0,0.029,0.0,0.0,0.0
0.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,-0.0,0.001,0.0,0.0,0.0
0.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.395,LANDED,-4.0,-4.0,0.134,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.495,LANDED,-4.0,-4.0,0.134,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.695,LANDED,-4.0,-4.0,0.134,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.795,LANDED,-4.0,-4.0,0.134,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.895,LANDED,-4.0,-4.0,0.134,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.995,LANDED,-4.0,-4.0,0.134,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
3.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
3.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
3.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
3.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
3.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
4.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
4.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
4.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
