Index,X,Y,Grid_X,Grid_Y
0,-4.075,-4.075,39,39
1,-3.975,-4.075,40,39
2,-3.874,-4.075,41,39
3,-3.774,-4.075,42,39
4,-3.673,-3.975,43,40
5,-3.572,-3.874,44,41
6,-3.472,-3.774,45,42
7,-3.371,-3.673,46,43
8,-3.27,-3.572,47,44
9,-3.17,-3.472,48,45
10,-3.069,-3.371,49,46
11,-2.969,-3.27,50,47
12,-2.868,-3.17,51,48
13,-2.767,-3.069,52,49
14,-2.667,-3.069,53,49
15,-2.566,-3.069,54,49
16,-2.465,-3.069,55,49
17,-2.365,-3.069,56,49
18,-2.264,-3.069,57,49
19,-2.164,-3.069,58,49
20,-2.063,-3.069,59,49
21,-1.962,-3.069,60,49
22,-1.862,-3.069,61,49
23,-1.761,-3.069,62,49
24,-1.66,-3.069,63,49
25,-1.56,-3.069,64,49
26,-1.459,-3.069,65,49
27,-1.358,-3.069,66,49
28,-1.258,-2.969,67,50
29,-1.157,-2.969,68,50
30,-1.057,-2.969,69,50
31,-0.956,-2.969,70,50
32,-0.855,-2.868,71,51
33,-0.755,-2.767,72,52
34,-0.654,-2.667,73,53
35,-0.553,-2.566,74,54
36,-0.453,-2.465,75,55
37,-0.352,-2.365,76,56
38,-0.252,-2.264,77,57
39,-0.151,-2.164,78,58
40,-0.05,-2.063,79,59
41,-0.05,-1.962,79,60
42,-0.05,-1.862,79,61
43,-0.05,-1.761,79,62
44,-0.05,-1.66,79,63
45,-0.05,-1.56,79,64
46,-0.05,-1.459,79,65
47,-0.05,-1.358,79,66
48,-0.05,-1.258,79,67
49,-0.05,-1.157,79,68
50,-0.05,-1.057,79,69
51,-0.05,-0.956,79,70
52,-0.05,-0.855,79,71
53,-0.05,-0.755,79,72
54,-0.05,-0.654,79,73
55,-0.05,-0.553,79,74
56,-0.05,-0.453,79,75
57,-0.05,-0.352,79,76
58,-0.05,-0.252,79,77
59,-0.05,-0.151,79,78
60,-0.05,-0.05,79,79
61,-0.05,0.05,79,80
62,-0.05,0.151,79,81
63,-0.05,0.252,79,82
64,-0.05,0.352,79,83
65,-0.05,0.453,79,84
66,-0.05,0.553,79,85
67,-0.05,0.654,79,86
68,-0.05,0.755,79,87
69,-0.05,0.855,79,88
70,-0.05,0.956,79,89
71,-0.05,1.057,79,90
72,-0.05,1.157,79,91
73,-0.05,1.258,79,92
74,-0.05,1.358,79,93
75,-0.05,1.459,79,94
76,-0.05,1.56,79,95
77,-0.05,1.66,79,96
78,-0.05,1.761,79,97
79,-0.05,1.862,79,98
80,-0.05,1.962,79,99
81,-0.151,1.962,78,99
82,-0.252,1.962,77,99
83,-0.352,1.962,76,99
84,-0.453,2.063,75,100
85,-0.553,2.164,74,101
86,-0.654,2.264,73,102
87,-0.755,2.365,72,103
88,-0.855,2.465,71,104
89,-0.956,2.566,70,105
90,-1.057,2.667,69,106
91,-1.157,2.767,68,107
92,-1.258,2.868,67,108
93,-1.358,2.969,66,109
94,-1.459,2.969,65,109
95,-1.56,2.969,64,109
96,-1.66,2.969,63,109
97,-1.761,2.969,62,109
98,-1.862,2.969,61,109
99,-1.962,2.969,60,109
100,-2.063,2.969,59,109
101,-2.164,2.969,58,109
102,-2.264,2.969,57,109
103,-2.365,2.969,56,109
104,-2.465,2.969,55,109
105,-2.566,2.969,54,109
106,-2.667,2.969,53,109
107,-2.767,2.969,52,109
108,-2.868,3.069,51,110
109,-2.969,3.069,50,110
110,-3.069,3.069,49,110
111,-3.17,3.069,48,110
112,-3.27,3.17,47,111
113,-3.371,3.27,46,112
114,-3.472,3.371,45,113
115,-3.572,3.472,44,114
116,-3.673,3.572,43,115
